,Quarterly Dates,Net Income,Net Sales,Operating Income,Profit,Year,Quarter,Daily Dates,Open,High,Low,Close,Volume
0,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-31,158.53,159.36,156.48,157.74,35003466
1,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-28,157.5,158.52,154.55,156.23,42291424
2,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-27,155.84,156.77,150.07,156.15,53117065
3,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-26,148.3,157.23,146.72,157.17,58582544
4,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-24,148.15,151.55,146.59,146.83,37169232
5,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-21,156.86,158.16,149.63,150.73,95744384
6,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-20,160.4,162.11,155.3,156.83,64772960
7,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-19,166.0,167.45,159.09,160.89,49047297
8,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-18,165.38,167.53,164.39,166.07,33841518
9,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-17,165.45,168.35,162.73,163.94,44287922
10,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-14,169.0,169.08,165.28,165.48,40703710
11,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-13,170.49,172.57,169.55,170.95,31897827
12,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-12,170.4,171.92,169.02,169.1,35627674
13,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-11,171.66,171.79,167.0,168.63,47281665
14,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-10,165.0,170.09,163.33,169.6,62025994
15,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-07,173.49,174.49,168.3,168.49,42281631
16,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-06,171.76,174.78,170.42,174.72,43098410
17,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-04,180.95,182.3899,176.27,176.69,41344282
18,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-12-03,184.46,184.94,181.21,184.82,40798002
19,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-30,180.29,180.33,177.03,178.58,39531549
20,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-29,182.66,182.8,177.7,179.55,41769992
21,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-28,176.73,181.29,174.93,180.94,46062539
22,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-27,171.51,174.77,170.88,174.24,41387377
23,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-26,174.24,174.95,170.26,174.62,44998520
24,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-23,174.94,176.595,172.1,172.29,23623972
25,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-21,179.73,180.27,176.55,176.78,31124210
26,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-20,178.37,181.47,175.51,176.98,67825247
27,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-19,190.0,190.7,184.99,185.86,41920872
28,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-16,190.5,194.9695,189.46,193.53,36928253
29,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-15,188.39,191.97,186.9,191.41,46478801
30,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-14,193.9,194.48,185.93,186.8,60800957
31,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-13,191.63,197.18,191.4501,192.23,46882936
32,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-12,199.0,199.85,193.79,194.17,51135518
33,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-09,205.55,206.01,202.25,204.47,34365750
34,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-08,209.98,210.12,206.75,208.49,25362636
35,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-07,205.97,210.06,204.13,209.95,33424434
36,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-06,201.92,204.72,201.69,203.77,31882881
37,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-05,204.3,204.39,198.17,201.59,66163669
38,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-02,209.55,213.65,205.43,207.48,91328654
39,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-11-01,219.05,222.36,216.81,222.22,58323180
40,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-31,216.88,220.45,216.62,218.86,38358933
41,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-30,211.15,215.18,209.27,213.3,36659990
42,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-29,219.19,219.69,206.09,212.24,45935520
43,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-26,215.9,220.19,212.67,216.3,47258375
44,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-25,217.71,221.38,216.75,219.8,29855768
45,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-24,222.6,224.23,214.54,215.09,40925163
46,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-23,215.83,223.25,214.7,222.73,38767846
47,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-22,219.79,223.36,218.94,220.65,28792082
48,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-19,218.06,221.26,217.43,219.31,33078726
49,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-18,217.86,219.74,213.0,216.02,32581315
50,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-17,222.3,222.64,219.34,221.19,22885397
51,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-16,218.93,222.99,216.7627,222.15,29183963
52,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-15,221.16,221.83,217.27,217.36,30791007
53,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-12,220.42,222.88,216.84,222.11,40337851
54,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-11,214.52,219.5,212.32,214.45,53124392
55,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-10,225.46,226.35,216.05,216.36,41990554
56,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-09,223.64,227.27,222.2462,226.87,26891029
57,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-08,222.21,224.8,220.2,223.77,29663923
58,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-05,227.96,228.41,220.58,224.29,33580463
59,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-04,230.78,232.35,226.73,227.99,32042000
60,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-03,230.05,233.47,229.78,232.07,28654799
61,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-02,227.25,230.0,226.63,229.28,24788170
62,2018-12-29,19965000000.0,84310000000.0,23346000000.0,32031000000.0,2018,4,2018-10-01,227.95,229.42,226.35,227.26,23600802
63,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-29,170.52,170.59,169.22,169.23,25643711
64,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-28,171.0,171.85,170.48,171.08,15997739
65,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-27,170.1,170.78,169.71,170.6,21672062
66,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-26,170.8,171.47,169.679,170.57,32968167
67,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-22,174.68,175.424,174.5,175.01,16052615
68,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-21,174.17,176.02,174.1,175.01,20356826
69,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-20,174.87,175.42,173.25,174.35,23000392
70,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-19,175.03,175.39,174.09,174.54,27078872
71,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-18,174.88,177.2,174.86,176.42,28831533
72,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-15,173.63,174.17,172.46,173.97,37054632
73,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-14,172.4,173.13,171.65,172.22,20219307
74,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-13,172.5,173.54,172.0,172.27,23142242
75,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-12,172.15,172.39,171.461,171.7,18945457
76,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-11,169.2,172.89,168.79,172.67,33092051
77,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-08,170.49,171.0,168.82,169.37,23096872
78,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-07,169.03,170.44,168.91,169.32,24469613
79,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-06,167.5,170.2047,166.46,169.01,28224357
80,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-05,169.06,171.52,168.4,169.64,27008428
81,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-04,172.48,172.62,169.63,169.8,32115052
82,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-12-01,169.95,171.67,168.5,171.05,39590080
83,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-30,170.43,172.14,168.44,171.85,40172368
84,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-29,172.63,172.92,167.16,169.48,40788324
85,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-28,174.3,174.87,171.86,173.07,25468442
86,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-27,175.05,175.08,173.34,174.09,20536313
87,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-24,175.1,175.5,174.6459,174.97,14026519
88,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-22,173.36,175.0,173.05,174.96,24997274
89,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-21,170.78,173.7,170.78,173.14,24875471
90,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-20,170.29,170.56,169.56,169.98,15974387
91,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-17,171.04,171.39,169.64,170.15,21665811
92,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-16,171.18,171.87,170.3,171.1,23497326
93,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-15,169.97,170.3197,168.38,169.08,28702351
94,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-14,173.04,173.48,171.18,171.34,23588451
95,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-13,173.5,174.5,173.4,173.97,16828025
96,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-10,175.11,175.38,174.27,174.67,25061183
97,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-09,175.11,176.095,173.14,175.88,28636531
98,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-08,174.66,176.24,174.33,176.24,24409527
99,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-07,173.91,175.25,173.6,174.81,23910914
100,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-06,172.365,174.99,171.72,174.25,34242566
101,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-03,174.0,174.26,171.12,172.5,58683826
102,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-02,167.64,168.5,165.28,168.11,32710040
103,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-11-01,169.87,169.94,165.61,166.89,33100847
104,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-31,167.9,169.6499,166.94,169.04,35474672
105,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-30,163.89,168.07,163.72,166.72,43923292
106,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-27,159.29,163.6,158.7,163.05,43904150
107,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-26,157.23,157.8295,156.78,157.41,16751691
108,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-25,156.91,157.55,155.27,156.41,20126554
109,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-24,156.29,157.42,156.2,157.1,17137731
110,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-23,156.89,157.69,155.5,156.17,21654461
111,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-20,156.61,157.75,155.96,156.25,23612246
112,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-19,156.75,157.08,155.02,155.98,42111326
113,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-18,160.42,160.71,159.6,159.76,16158659
114,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-17,159.78,160.87,159.23,160.47,18816438
115,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-16,157.9,160.0,157.65,159.88,23894630
116,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-13,156.73,157.28,156.41,156.99,16287608
117,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-12,156.35,157.37,155.7299,156.0,16045720
118,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-11,155.97,156.98,155.75,156.55,16607693
119,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-10,156.055,158.0,155.1,155.9,15456331
120,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-09,155.81,156.73,155.485,155.84,16200129
121,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-06,154.97,155.49,154.56,155.3,16423749
122,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-05,154.18,155.44,154.05,155.39,21032800
123,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-04,153.63,153.86,152.46,153.48,19844177
124,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-03,154.01,155.09,153.91,154.48,16146388
125,2017-12-30,20065000000.0,88293000000.0,26274000000.0,33912000000.0,2017,4,2017-10-02,154.26,154.45,152.72,153.81,18524860
126,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-29,189.83,190.08,188.54,189.95,23563961
127,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-28,188.95,189.559,187.53,188.72,20780363
128,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-27,188.75,189.76,186.55,188.47,29848427
129,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-26,191.664,192.88,184.58,186.79,49800538
130,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-25,191.51,191.98,186.6,188.74,43845293
131,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-22,195.34,197.69,190.78,191.05,42407666
132,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-21,190.02,196.33,189.81,195.09,51034237
133,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-20,186.23,189.49,184.73,188.16,31035231
134,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-19,188.35,188.99,185.92,186.53,31646369
135,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-18,185.8,188.39,185.79,188.02,26219832
136,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-15,184.85,187.33,183.74,186.12,39042912
137,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-14,183.9,184.1,182.56,183.73,23579508
138,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-13,182.25,183.3,180.92,181.71,31032524
139,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-12,180.0,182.67,179.37,180.91,32467584
140,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-11,175.49,179.12,175.35,178.9,32011034
141,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-08,170.32,173.07,169.5,172.91,23999358
142,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-07,173.87,174.44,172.02,172.5,24796374
143,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-06,174.67,175.49,173.94,174.52,20810384
144,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-05,175.94,176.0,174.54,175.53,19737419
145,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-04,175.69,177.75,173.97,175.85,27436203
146,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-03-01,174.28,175.15,172.89,174.97,25886167
147,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-28,174.32,174.91,172.92,173.15,28215416
148,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-27,173.21,175.0,172.73,174.87,27835389
149,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-26,173.71,175.3,173.1732,174.33,17070211
150,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-25,174.16,175.87,173.95,174.23,21873358
151,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-22,171.58,173.0,171.38,172.97,18913154
152,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-21,171.8,172.37,170.3,171.06,17249670
153,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-20,171.19,173.32,170.99,172.03,26114362
154,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-19,169.71,171.44,169.49,170.93,18972826
155,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-15,171.25,171.7,169.75,170.42,24626814
156,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-14,169.71,171.2615,169.38,170.8,21835747
157,2019-03-30,11561000000.0,58015000000.0,13415000000.0,21821000000.0,2019,1,2019-02-13,171.39,172.48,169.92,170.18,22490233
